sale_id,sale_date,product_id,channel_id,quantity,revenue,cost
74,2026-02-11,8,3,3,153000,96000
75,2026-02-11,2,1,5,205000,110000
76,2026-02-11,14,1,1,17000,9000
77,2026-02-12,3,1,1,115000,68000
78,2026-02-12,14,1,1,17000,9000
79,2026-02-12,7,1,1,82000,55000
80,2026-02-12,15,2,1,14000,7500
81,2026-02-12,7,2,2,164000,110000
82,2026-02-12,13,2,2,440000,290000
83,2026-02-13,4,1,5,145000,75000
84,2026-02-13,10,2,1,310000,210000
85,2026-02-13,6,1,1,67000,38000
86,2026-02-13,9,3,1,63000,41000
87,2026-02-13,1,3,1,78000,45000
88,2026-02-14,2,2,2,82000,44000
89,2026-02-14,4,1,3,87000,45000
90,2026-02-14,10,1,1,310000,210000
91,2026-02-14,10,1,2,620000,420000
92,2026-02-14,10,2,3,930000,630000
93,2026-02-15,11,2,1,31000,18000
94,2026-02-15,7,1,2,164000,110000
95,2026-02-15,8,1,2,102000,64000
96,2026-02-15,2,1,2,82000,44000
97,2026-02-15,10,3,1,310000,210000
98,2026-02-15,4,2,1,29000,15000
99,2026-02-16,15,1,1,14000,7500
100,2026-02-16,5,1,2,178000,104000
101,2026-02-16,12,1,5,220000,125000
102,2026-02-16,13,2,1,220000,145000
103,2026-02-16,14,2,3,51000,27000
104,2026-02-16,2,3,1,41000,22000
105,2026-02-16,2,3,2,82000,44000
106,2026-02-16,3,1,2,230000,136000
107,2026-02-17,4,2,3,87000,45000
108,2026-02-17,9,1,3,189000,123000
109,2026-02-17,14,1,2,34000,18000
110,2026-02-17,14,1,1,17000,9000
111,2026-02-17,13,1,5,1100000,725000
112,2026-02-17,3,2,1,115000,68000
113,2026-02-17,7,2,1,82000,55000
114,2026-02-17,15,2,1,14000,7500
115,2026-02-18,14,1,1,17000,9000
116,2026-02-18,7,1,1,82000,55000
117,2026-02-18,15,3,5,70000,37500
118,2026-02-19,15,1,2,28000,15000
119,2026-02-19,11,1,2,62000,36000
120,2026-02-19,15,3,5,70000,37500
121,2026-02-20,15,3,3,42000,22500
122,2026-02-20,13,3,3,660000,435000
123,2026-02-20,1,1,3,234000,135000
124,2026-02-20,13,3,2,440000,290000
125,2026-02-20,14,2,1,17000,9000
126,2026-02-21,13,2,1,220000,145000
127,2026-02-21,1,3,1,78000,45000
128,2026-02-21,14,3,1,17000,9000
129,2026-02-21,14,2,1,17000,9000
130,2026-02-21,1,2,1,78000,45000
131,2026-02-22,14,1,2,34000,18000
132,2026-02-22,6,2,1,67000,38000
133,2026-02-22,14,2,3,51000,27000
134,2026-02-22,2,3,1,41000,22000
135,2026-02-22,10,3,1,310000,210000
136,2026-02-22,2,2,1,41000,22000
137,2026-02-22,13,1,2,440000,290000
138,2026-02-23,2,1,1,41000,22000
139,2026-02-23,5,1,1,89000,52000
140,2026-02-23,9,3,1,63000,41000
141,2026-02-23,12,3,2,88000,50000
142,2026-02-23,4,1,1,29000,15000
143,2026-02-23,11,3,2,62000,36000
144,2026-02-23,11,3,2,62000,36000
145,2026-02-23,5,2,2,178000,104000
146,2026-02-23,6,1,1,67000,38000
147,2026-02-23,3,1,2,230000,136000
148,2026-02-23,7,2,3,246000,165000
149,2026-02-24,10,1,1,310000,210000
150,2026-02-24,1,1,1,78000,45000
151,2026-02-24,13,2,2,440000,290000
152,2026-02-24,8,1,2,102000,64000
153,2026-02-24,9,1,3,189000,123000
154,2026-02-24,13,2,2,440000,290000
155,2026-02-24,5,2,2,178000,104000
156,2026-02-24,6,1,5,335000,190000
157,2026-02-24,4,2,1,29000,15000
158,2026-02-24,4,1,1,29000,15000
159,2026-02-24,8,2,2,102000,64000
160,2026-02-24,8,1,2,102000,64000
161,2026-02-25,12,2,1,44000,25000
162,2026-02-25,4,1,2,58000,30000
163,2026-02-25,15,2,2,28000,15000
164,2026-02-25,2,2,1,41000,22000
165,2026-02-25,13,3,1,220000,145000
166,2026-02-25,1,2,3,234000,135000
167,2026-02-26,8,1,1,51000,32000
168,2026-02-26,9,3,1,63000,41000
169,2026-02-26,13,3,2,440000,290000
170,2026-02-26,12,3,1,44000,25000
171,2026-02-27,8,3,2,102000,64000
172,2026-02-27,8,1,2,102000,64000
173,2026-02-27,14,2,2,34000,18000
174,2026-02-27,9,1,1,63000,41000
175,2026-02-27,8,1,1,51000,32000
176,2026-02-27,5,1,3,267000,156000
177,2026-02-27,2,1,1,41000,22000
178,2026-02-27,12,1,1,44000,25000
179,2026-02-27,7,1,1,82000,55000
180,2026-02-27,7,1,2,164000,110000
181,2026-02-27,7,3,1,82000,55000
182,2026-02-28,14,3,1,17000,9000
183,2026-02-28,8,1,1,51000,32000
184,2026-02-28,13,1,3,660000,435000
185,2026-03-01,9,2,1,63000,41000
186,2026-03-01,10,3,1,310000,210000
187,2026-03-01,5,1,1,89000,52000
188,2026-03-01,6,2,2,134000,76000
189,2026-03-01,12,1,1,44000,25000
190,2026-03-01,3,3,1,115000,68000
191,2026-03-01,15,1,1,14000,7500
192,2026-03-01,1,1,1,78000,45000
193,2026-03-01,14,1,1,17000,9000
194,2026-03-02,6,1,1,67000,38000
195,2026-03-02,13,3,1,220000,145000
196,2026-03-02,14,1,2,34000,18000
197,2026-03-02,8,1,1,51000,32000
198,2026-03-02,6,1,1,67000,38000
199,2026-03-02,11,1,1,31000,18000
200,2026-03-02,4,1,1,29000,15000
201,2026-03-02,3,1,1,115000,68000
202,2026-03-02,2,2,1,41000,22000
203,2026-03-03,13,1,2,440000,290000
204,2026-03-03,12,2,2,88000,50000
205,2026-03-03,3,3,1,115000,68000
206,2026-03-03,1,3,1,78000,45000
207,2026-03-03,15,3,1,14000,7500
208,2026-03-03,12,1,1,44000,25000
209,2026-03-03,14,2,1,17000,9000
210,2026-03-04,14,2,2,34000,18000
211,2026-03-04,13,3,2,440000,290000
212,2026-03-04,6,2,2,134000,76000
213,2026-03-04,2,2,1,41000,22000
214,2026-03-04,14,1,1,17000,9000
215,2026-03-04,7,3,2,164000,110000
216,2026-03-04,14,1,1,17000,9000
217,2026-03-05,12,2,2,88000,50000
218,2026-03-05,10,3,1,310000,210000
219,2026-03-05,8,1,2,102000,64000
220,2026-03-05,10,1,3,930000,630000
221,2026-03-05,14,3,1,17000,9000
222,2026-03-06,4,2,1,29000,15000
223,2026-03-06,11,1,1,31000,18000
224,2026-03-06,14,1,1,17000,9000
225,2026-03-06,6,2,1,67000,38000
226,2026-03-06,15,2,3,42000,22500
227,2026-03-06,9,1,3,189000,123000
228,2026-03-06,2,1,1,41000,22000
229,2026-03-06,9,2,2,126000,82000
230,2026-03-06,11,2,1,31000,18000
231,2026-03-06,1,1,1,78000,45000
232,2026-03-07,5,2,1,89000,52000
233,2026-03-07,9,2,1,63000,41000
234,2026-03-07,12,2,1,44000,25000
235,2026-03-07,8,1,1,51000,32000
236,2026-03-07,2,2,1,41000,22000
237,2026-03-07,12,2,2,88000,50000
238,2026-03-08,4,1,1,29000,15000
239,2026-03-08,12,2,2,88000,50000
240,2026-03-08,10,1,1,310000,210000
241,2026-03-08,4,1,1,29000,15000
242,2026-03-08,5,1,1,89000,52000
243,2026-03-09,1,3,1,78000,45000
244,2026-03-09,12,3,2,88000,50000
245,2026-03-09,13,1,3,660000,435000
246,2026-03-09,10,1,1,310000,210000
247,2026-03-09,6,1,1,67000,38000
248,2026-03-09,14,1,2,34000,18000
249,2026-03-09,7,1,1,82000,55000
250,2026-03-10,3,1,1,115000,68000
251,2026-03-10,5,1,1,89000,52000
252,2026-03-10,9,2,2,126000,82000
253,2026-03-11,4,2,1,29000,15000
254,2026-03-11,15,1,3,42000,22500
255,2026-03-11,7,1,2,164000,110000
256,2026-03-11,10,3,1,310000,210000
257,2026-03-11,13,1,1,220000,145000
258,2026-03-11,11,1,1,31000,18000
259,2026-03-11,9,1,1,63000,41000
260,2026-03-11,8,2,1,51000,32000
261,2026-03-11,1,1,2,156000,90000
262,2026-03-11,12,3,1,44000,25000
263,2026-03-11,4,3,2,58000,30000
264,2026-03-11,11,2,2,62000,36000
265,2026-03-12,7,1,1,82000,55000
266,2026-03-12,3,3,2,230000,136000
267,2026-03-12,2,1,2,82000,44000
268,2026-03-12,10,2,1,310000,210000
269,2026-03-12,5,1,1,89000,52000
270,2026-03-12,5,2,3,267000,156000
271,2026-03-13,9,1,1,63000,41000
272,2026-03-13,1,3,2,156000,90000
273,2026-03-13,10,1,1,310000,210000
274,2026-03-13,11,3,1,31000,18000
275,2026-03-13,1,3,2,156000,90000
276,2026-03-13,5,2,2,178000,104000
277,2026-03-13,3,1,2,230000,136000
278,2026-03-13,15,1,5,70000,37500
279,2026-03-13,7,2,1,82000,55000
280,2026-03-13,2,1,1,41000,22000
281,2026-03-13,6,2,3,201000,114000
282,2026-03-14,7,2,1,82000,55000
283,2026-03-14,7,3,1,82000,55000
284,2026-03-14,8,1,1,51000,32000
285,2026-03-14,2,3,1,41000,22000
286,2026-03-14,9,3,1,63000,41000
287,2026-03-14,14,2,1,17000,9000
288,2026-03-14,4,2,2,58000,30000
289,2026-03-14,8,2,2,102000,64000
290,2026-03-15,5,2,3,267000,156000
291,2026-03-15,8,3,1,51000,32000
292,2026-03-15,1,3,2,156000,90000
293,2026-03-15,4,2,1,29000,15000
294,2026-03-15,1,2,1,78000,45000
295,2026-03-15,14,3,1,17000,9000
296,2026-03-16,11,3,1,31000,18000
297,2026-03-16,12,1,2,88000,50000
298,2026-03-16,7,3,5,410000,275000
299,2026-03-16,4,1,1,29000,15000
300,2026-03-17,15,2,2,28000,15000
301,2026-03-17,3,3,1,115000,68000
302,2026-03-17,13,3,1,220000,145000
303,2026-03-17,13,2,2,440000,290000
304,2026-03-17,5,2,2,178000,104000
305,2026-03-17,10,3,1,310000,210000
306,2026-03-18,8,2,1,51000,32000
307,2026-03-18,9,2,1,63000,41000
308,2026-03-18,15,1,1,14000,7500
309,2026-03-18,12,1,1,44000,25000
310,2026-03-18,14,2,1,17000,9000
311,2026-03-19,12,3,1,44000,25000
312,2026-03-19,11,2,2,62000,36000
313,2026-03-19,3,1,1,115000,68000
314,2026-03-19,9,3,1,63000,41000
315,2026-03-19,2,3,1,41000,22000
316,2026-03-19,9,3,1,63000,41000
317,2026-03-19,3,1,2,230000,136000
318,2026-03-19,3,1,2,230000,136000
319,2026-03-19,5,1,2,178000,104000
320,2026-03-19,11,1,1,31000,18000
321,2026-03-20,7,3,2,164000,110000
322,2026-03-20,15,2,3,42000,22500
323,2026-03-20,1,2,1,78000,45000
324,2026-03-20,11,3,5,155000,90000
325,2026-03-20,12,1,5,220000,125000
326,2026-03-20,13,2,3,660000,435000
327,2026-03-20,8,1,1,51000,32000
328,2026-03-20,1,1,2,156000,90000
329,2026-03-20,5,1,1,89000,52000
330,2026-03-20,4,2,1,29000,15000
331,2026-03-20,13,1,1,220000,145000
332,2026-03-21,14,1,2,34000,18000
333,2026-03-21,8,3,1,51000,32000
334,2026-03-21,8,2,1,51000,32000
335,2026-03-21,11,1,2,62000,36000
336,2026-03-21,15,1,1,14000,7500
337,2026-03-21,2,1,1,41000,22000
338,2026-03-21,10,1,5,1550000,1050000
339,2026-03-21,12,1,2,88000,50000
340,2026-03-21,4,3,3,87000,45000
341,2026-03-21,2,1,1,41000,22000
342,2026-03-21,10,1,2,620000,420000
343,2026-03-21,1,3,2,156000,90000
344,2026-03-22,1,2,2,156000,90000
345,2026-03-22,12,3,3,132000,75000
346,2026-03-22,12,1,3,132000,75000
347,2026-03-22,5,2,1,89000,52000
348,2026-03-22,13,1,2,440000,290000
349,2026-03-22,10,1,2,620000,420000
350,2026-03-22,13,2,2,440000,290000
351,2026-03-23,15,2,1,14000,7500
352,2026-03-23,13,1,1,220000,145000
353,2026-03-23,12,1,3,132000,75000
354,2026-03-23,6,2,1,67000,38000
355,2026-03-24,13,2,5,1100000,725000
356,2026-03-24,9,2,1,63000,41000
357,2026-03-24,3,1,2,230000,136000
358,2026-03-24,8,3,1,51000,32000
359,2026-03-24,14,1,1,17000,9000
360,2026-03-25,3,2,1,115000,68000
361,2026-03-25,11,2,5,155000,90000
362,2026-03-25,14,3,1,17000,9000
363,2026-03-25,13,1,1,220000,145000
364,2026-03-26,8,1,2,102000,64000
365,2026-03-26,5,2,2,178000,104000
366,2026-03-26,6,1,1,67000,38000
367,2026-03-26,1,2,3,234000,135000
368,2026-03-27,15,2,2,28000,15000
369,2026-03-27,11,3,3,93000,54000
370,2026-03-27,5,2,1,89000,52000
371,2026-03-27,1,3,1,78000,45000
372,2026-03-27,8,1,1,51000,32000
373,2026-03-27,9,1,1,63000,41000
374,2026-03-27,11,3,2,62000,36000
375,2026-03-27,9,1,2,126000,82000
376,2026-03-28,15,1,1,14000,7500
377,2026-03-28,8,2,3,153000,96000
378,2026-03-28,5,1,1,89000,52000
379,2026-03-28,8,1,1,51000,32000
380,2026-03-28,6,1,2,134000,76000
381,2026-03-29,15,3,1,14000,7500
382,2026-03-29,7,1,5,410000,275000
383,2026-03-29,14,3,1,17000,9000
384,2026-03-29,4,2,1,29000,15000
385,2026-03-29,1,1,1,78000,45000
386,2026-03-29,3,2,1,115000,68000
387,2026-03-29,14,2,1,17000,9000
388,2026-03-29,4,3,1,29000,15000
389,2026-03-29,13,1,3,660000,435000
390,2026-03-29,1,1,5,390000,225000
391,2026-03-29,3,2,2,230000,136000
392,2026-03-30,11,3,1,31000,18000
393,2026-03-30,6,2,1,67000,38000
394,2026-03-30,6,1,1,67000,38000
395,2026-03-30,3,2,1,115000,68000
396,2026-03-31,8,1,1,51000,32000
397,2026-03-31,10,1,1,310000,210000
398,2026-03-31,10,1,2,620000,420000
399,2026-03-31,14,2,1,17000,9000
400,2026-04-01,1,3,2,156000,90000
401,2026-04-01,7,2,1,82000,55000
402,2026-04-01,15,1,3,42000,22500
403,2026-04-02,10,1,1,310000,210000
404,2026-04-02,10,2,1,310000,210000
405,2026-04-02,6,1,1,67000,38000
406,2026-04-02,5,1,2,178000,104000
407,2026-04-02,2,2,1,41000,22000
408,2026-04-02,11,2,2,62000,36000
409,2026-04-02,12,3,1,44000,25000
410,2026-04-02,15,1,1,14000,7500
411,2026-04-03,7,1,1,82000,55000
412,2026-04-03,7,1,1,82000,55000
413,2026-04-03,3,2,1,115000,68000
414,2026-04-03,2,3,1,41000,22000
415,2026-04-03,2,2,1,41000,22000
416,2026-04-03,3,2,1,115000,68000
417,2026-04-03,9,2,2,126000,82000
418,2026-04-03,7,1,2,164000,110000
419,2026-04-03,13,1,3,660000,435000
420,2026-04-03,1,3,2,156000,90000
421,2026-04-04,2,2,1,41000,22000
422,2026-04-04,11,1,2,62000,36000
423,2026-04-04,6,3,1,67000,38000
424,2026-04-04,13,1,1,220000,145000
425,2026-04-04,7,3,5,410000,275000
426,2026-04-04,14,2,2,34000,18000
427,2026-04-04,9,1,3,189000,123000
428,2026-04-04,14,2,1,17000,9000
429,2026-04-05,12,2,3,132000,75000
430,2026-04-05,6,1,3,201000,114000
431,2026-04-05,10,2,1,310000,210000
432,2026-04-05,12,2,1,44000,25000
433,2026-04-05,12,2,1,44000,25000
434,2026-04-05,8,1,1,51000,32000
435,2026-04-05,12,1,3,132000,75000
436,2026-04-06,2,3,1,41000,22000
437,2026-04-06,13,2,2,440000,290000
438,2026-04-06,5,1,1,89000,52000
439,2026-04-06,10,1,1,310000,210000
440,2026-04-06,13,2,1,220000,145000
441,2026-04-06,2,1,2,82000,44000
442,2026-04-06,8,2,1,51000,32000
443,2026-04-06,4,1,1,29000,15000
444,2026-04-06,1,1,3,234000,135000
445,2026-04-06,13,1,1,220000,145000
446,2026-04-06,6,1,1,67000,38000
447,2026-04-06,7,1,1,82000,55000
448,2026-04-07,9,2,2,126000,82000
449,2026-04-07,6,1,3,201000,114000
450,2026-04-07,1,1,1,78000,45000
451,2026-04-07,2,3,1,41000,22000
452,2026-04-07,10,1,2,620000,420000
453,2026-04-07,5,1,1,89000,52000
454,2026-04-08,3,3,2,230000,136000
455,2026-04-08,14,2,1,17000,9000
456,2026-04-08,7,3,1,82000,55000
457,2026-04-08,10,1,1,310000,210000
458,2026-04-08,14,1,1,17000,9000
459,2026-04-08,6,2,1,67000,38000
460,2026-04-08,11,1,1,31000,18000
461,2026-04-08,15,2,1,14000,7500
462,2026-04-09,4,1,1,29000,15000
463,2026-04-09,3,2,2,230000,136000
464,2026-04-09,11,1,5,155000,90000
465,2026-04-09,11,1,2,62000,36000
466,2026-04-09,13,2,2,440000,290000
467,2026-04-10,11,2,2,62000,36000
468,2026-04-10,14,3,1,17000,9000
469,2026-04-10,8,1,1,51000,32000
470,2026-04-10,5,2,1,89000,52000
471,2026-04-10,6,2,1,67000,38000
472,2026-04-10,8,1,1,51000,32000
473,2026-04-10,5,1,3,267000,156000
474,2026-04-10,14,1,1,17000,9000
475,2026-04-10,13,2,1,220000,145000
476,2026-04-10,15,3,2,28000,15000
477,2026-04-10,6,2,1,67000,38000
478,2026-04-11,8,1,3,153000,96000
479,2026-04-11,6,3,1,67000,38000
480,2026-04-11,11,1,1,31000,18000
481,2026-04-12,8,2,2,102000,64000
482,2026-04-12,6,1,1,67000,38000
483,2026-04-12,1,2,2,156000,90000
484,2026-04-12,2,1,1,41000,22000
485,2026-04-12,11,3,2,62000,36000
486,2026-04-12,3,1,1,115000,68000
487,2026-04-12,3,3,1,115000,68000
488,2026-04-12,11,2,1,31000,18000
489,2026-04-13,12,3,1,44000,25000
490,2026-04-13,3,2,2,230000,136000
491,2026-04-13,12,3,3,132000,75000
492,2026-04-13,2,2,1,41000,22000
493,2026-04-13,6,1,1,67000,38000
494,2026-04-13,4,1,2,58000,30000
495,2026-04-13,4,1,1,29000,15000
496,2026-04-13,2,1,2,82000,44000
497,2026-04-13,9,2,2,126000,82000
498,2026-04-13,15,2,2,28000,15000
499,2026-04-13,15,2,1,14000,7500
500,2026-04-14,3,1,2,230000,136000
501,2026-04-14,13,2,3,660000,435000
502,2026-04-14,12,1,1,44000,25000
503,2026-04-14,11,2,5,155000,90000
504,2026-04-14,10,1,2,620000,420000
505,2026-04-14,8,1,1,51000,32000
506,2026-04-14,13,2,3,660000,435000
507,2026-04-14,4,1,3,87000,45000
508,2026-04-14,8,1,1,51000,32000
509,2026-04-15,9,2,5,315000,205000
510,2026-04-15,14,1,2,34000,18000
511,2026-04-15,14,1,2,34000,18000
512,2026-04-15,14,1,3,51000,27000
513,2026-04-15,12,3,3,132000,75000
514,2026-04-15,5,1,1,89000,52000
515,2026-04-15,8,3,1,51000,32000
516,2026-04-15,14,1,1,17000,9000
517,2026-04-16,4,1,1,29000,15000
518,2026-04-16,4,1,3,87000,45000
519,2026-04-17,13,1,1,220000,145000
520,2026-04-17,15,3,2,28000,15000
521,2026-04-17,3,2,1,115000,68000
522,2026-04-17,10,1,1,310000,210000
523,2026-04-17,5,1,1,89000,52000
524,2026-04-17,12,2,1,44000,25000
525,2026-04-17,13,1,1,220000,145000
526,2026-04-17,1,1,2,156000,90000
527,2026-04-18,8,1,2,102000,64000
528,2026-04-18,8,2,1,51000,32000
529,2026-04-18,9,2,2,126000,82000
530,2026-04-18,5,1,2,178000,104000
531,2026-04-18,4,2,1,29000,15000
532,2026-04-18,11,1,5,155000,90000
533,2026-04-18,2,3,1,41000,22000
534,2026-04-18,13,3,1,220000,145000
535,2026-04-18,1,1,1,78000,45000
536,2026-04-18,4,2,2,58000,30000
537,2026-04-19,12,2,1,44000,25000
538,2026-04-19,6,2,2,134000,76000
539,2026-04-19,3,3,2,230000,136000
540,2026-04-19,12,1,1,44000,25000
541,2026-04-19,3,1,2,230000,136000
542,2026-04-19,8,1,1,51000,32000
543,2026-04-19,13,1,1,220000,145000
544,2026-04-19,15,1,1,14000,7500
545,2026-04-19,14,2,1,17000,9000
546,2026-04-19,13,2,1,220000,145000
547,2026-04-19,14,2,3,51000,27000
548,2026-04-19,6,1,2,134000,76000
549,2026-04-20,15,1,1,14000,7500
550,2026-04-20,12,1,3,132000,75000
551,2026-04-20,9,1,1,63000,41000
552,2026-04-20,14,1,1,17000,9000
553,2026-04-20,2,1,2,82000,44000
554,2026-04-20,5,1,2,178000,104000
555,2026-04-20,3,2,1,115000,68000
556,2026-04-21,12,3,1,44000,25000
557,2026-04-21,7,1,5,410000,275000
558,2026-04-21,1,1,2,156000,90000
559,2026-04-22,9,3,2,126000,82000
560,2026-04-22,1,1,2,156000,90000
561,2026-04-22,13,1,1,220000,145000
562,2026-04-22,4,2,1,29000,15000
563,2026-04-22,7,3,1,82000,55000
564,2026-04-22,3,2,3,345000,204000
565,2026-04-22,6,1,1,67000,38000
566,2026-04-22,3,2,1,115000,68000
567,2026-04-23,4,3,1,29000,15000
568,2026-04-23,3,1,1,115000,68000
569,2026-04-23,9,1,2,126000,82000
570,2026-04-23,12,1,5,220000,125000
571,2026-04-23,5,2,5,445000,260000
572,2026-04-23,4,1,3,87000,45000
573,2026-04-23,8,1,2,102000,64000
574,2026-04-24,13,2,2,440000,290000
575,2026-04-24,6,2,2,134000,76000
576,2026-04-24,9,2,3,189000,123000
577,2026-04-24,14,1,2,34000,18000
578,2026-04-25,13,1,1,220000,145000
579,2026-04-25,4,2,1,29000,15000
580,2026-04-25,8,1,1,51000,32000
581,2026-04-25,6,1,5,335000,190000
582,2026-04-25,3,2,1,115000,68000
583,2026-04-26,7,3,2,164000,110000
584,2026-04-26,9,1,1,63000,41000
585,2026-04-26,10,1,5,1550000,1050000
586,2026-04-26,11,1,1,31000,18000
587,2026-04-26,9,1,3,189000,123000
588,2026-04-26,13,2,1,220000,145000
589,2026-04-26,13,3,1,220000,145000
590,2026-04-27,14,1,1,17000,9000
591,2026-04-27,3,1,3,345000,204000
592,2026-04-27,4,1,3,87000,45000
593,2026-04-28,14,1,1,17000,9000
594,2026-04-28,9,1,2,126000,82000
595,2026-04-28,10,2,1,310000,210000
596,2026-04-28,3,2,1,115000,68000
597,2026-04-28,3,2,2,230000,136000
598,2026-04-28,10,1,3,930000,630000
599,2026-04-28,1,3,1,78000,45000
600,2026-04-29,11,2,1,31000,18000
601,2026-04-29,4,2,1,29000,15000
602,2026-04-29,11,1,3,93000,54000
603,2026-04-30,5,2,1,89000,52000
604,2026-04-30,4,3,2,58000,30000
605,2026-04-30,5,1,2,178000,104000
606,2026-04-30,3,1,1,115000,68000
607,2026-04-30,4,1,1,29000,15000
608,2026-04-30,14,2,2,34000,18000
609,2026-04-30,14,1,1,17000,9000
610,2026-04-30,13,1,1,220000,145000
611,2026-04-30,6,1,1,67000,38000
612,2026-04-30,8,1,1,51000,32000
613,2026-04-30,5,3,3,267000,156000
614,2026-05-01,4,3,3,87000,45000
615,2026-05-01,14,1,1,17000,9000
616,2026-05-01,6,1,1,67000,38000
617,2026-05-01,9,1,3,189000,123000
618,2026-05-01,8,1,3,153000,96000
619,2026-05-01,9,1,1,63000,41000
620,2026-05-01,10,1,1,310000,210000
621,2026-05-01,8,2,2,102000,64000
622,2026-05-01,11,1,1,31000,18000
623,2026-05-02,7,1,1,82000,55000
624,2026-05-02,6,2,1,67000,38000
625,2026-05-02,7,1,1,82000,55000
626,2026-05-02,6,2,1,67000,38000
627,2026-05-03,8,2,1,51000,32000
628,2026-05-03,10,2,1,310000,210000
629,2026-05-03,2,1,2,82000,44000
630,2026-05-03,6,2,1,67000,38000
631,2026-05-03,3,1,1,115000,68000
632,2026-05-03,9,1,1,63000,41000
633,2026-05-03,12,1,1,44000,25000
634,2026-05-03,8,1,3,153000,96000
635,2026-05-03,3,1,2,230000,136000
636,2026-05-03,3,1,2,230000,136000
637,2026-05-03,14,1,1,17000,9000
638,2026-05-04,9,1,1,63000,41000
639,2026-05-04,8,3,1,51000,32000
640,2026-05-04,11,1,1,31000,18000
641,2026-05-04,5,2,2,178000,104000
642,2026-05-04,12,2,1,44000,25000
643,2026-05-04,5,3,2,178000,104000
644,2026-05-04,13,2,1,220000,145000
645,2026-05-04,1,2,1,78000,45000
646,2026-05-04,11,2,2,62000,36000
647,2026-05-04,7,1,2,164000,110000
648,2026-05-04,1,2,2,156000,90000
649,2026-05-05,1,1,1,78000,45000
650,2026-05-05,7,2,1,82000,55000
651,2026-05-05,13,2,1,220000,145000
652,2026-05-05,14,2,1,17000,9000
653,2026-05-05,3,2,1,115000,68000
654,2026-05-05,11,1,1,31000,18000
655,2026-05-06,8,3,1,51000,32000
656,2026-05-06,6,2,3,201000,114000
657,2026-05-06,11,2,2,62000,36000
658,2026-05-06,10,1,5,1550000,1050000
659,2026-05-06,5,2,1,89000,52000
660,2026-05-07,13,1,1,220000,145000
661,2026-05-07,12,1,1,44000,25000
662,2026-05-07,9,3,2,126000,82000
663,2026-05-07,5,1,1,89000,52000
